"loc","year","plot","gen","rep","trt","DHE","DMA","PLH","GYLD","TKW"
"Asasa","y2005","p23","EH1877","r2","t6",70,114,65,2938,44
"Asasa","y2005","p24","EH1869","r2","t7",80,118,104,3228,41
"Asasa","y2005","p25","F2SXS13395","r2","t12",76,112,85,3563,41.8
"Asasa","y2005","p26","EH1900","r2","t2",70,114,75,3832,41.8
"Asasa","y2005","p27","IBON2796","r2","t11",68,114,77,4968,47.4
"Asasa","y2005","p28","EH1505","r2","t3",79,118,97,4087,42.2
"Asasa","y2005","p29","EH1847","r2","t1",70,116,90,3951,43
"Asasa","y2005","p30","EH1551","r2","t8",68,116,90,3806,52.6
"Asasa","y2005","p31","IBON2796","r3","t11",77,114,77,4517,48.8
"Asasa","y2005","p32","EH18472","r3","t9",82,120,108,4309,39
"Asasa","y2005","p33","BNEth019","r3","t13",70,112,95,4826,44.6
"Asasa","y2005","p34","IBON4499","r3","t5",70,122,97,6255,50
"Asasa","y2005","p35","EH1847","r3","t1",73,116,108,4514,42.8
"Asasa","y2005","p36","EH1864","r3","t10",77,114,90,4480,42.2
"Asasa","y2005","p37","EH1869","r3","t7",79,118,105,3725,41.6
"Asasa","y2005","p38","EH1551","r3","t8",68,112,75,3326,58.4
"Asasa","y2005","p39","EH1893","r3","t4",75,112,92,3969,33.2
"Asasa","y2005","p40","Beka","r3","t15",82,118,105,3239,30
"Asasa","y2005","p41","EH1877","r3","t6",78,118,75,3369,45.8
"Asasa","y2005","p42","EH1505","r3","t3",73,112,85,4210,47.6
"Asasa","y2005","p43","EH1900","r3","t2",70,116,97,3680,46
"Asasa","y2005","p44","F2SXS13395","r3","t12",70,116,95,3841,42.4
"Asasa","y2005","p45","HB120","r3","t14",79,118,108,3265,34.8
"Asasa","y2005","p46","EH1551","r4","t8",67,112,82,3720,59.8
"Asasa","y2005","p47","IBON2796","r4","t11",67,112,75,4379,49
"Asasa","y2005","p48","BNEth019","r4","t13",66,108,87,4456,45
"Asasa","y2005","p49","EH1900","r4","t2",68,114,95,3634,44
"Asasa","y2005","p50","EH18472","r4","t9",80,118,110,3610,37.6
"Asasa","y2005","p51","Beka","r4","t15",82,120,112,3386,32.2
"Asasa","y2005","p52","HB120","r4","t14",80,116,112,3470,33.4
"Asasa","y2005","p53","EH1877","r4","t6",70,115,85,3471,43.4
"Asasa","y2005","p54","EH1869","r4","t7",100,118,92,3544,36
"Asasa","y2005","p55","EH1893","r4","t4",80,118,108,3583,29.8
"Asasa","y2005","p56","EH1864","r4","t10",78,120,80,3137,34.2
"Asasa","y2005","p57","IBON4499","r4","t5",70,122,90,6090,48.8
"Asasa","y2005","p58","F2SXS13395","r4","t12",78,122,110,5782,48.8
